Website,Category,AVG minutes
yaplakal.com,Arts & Entertainment,13.716666666666667
fishki.net,Arts & Entertainment,11.083333333333334
pleated-jeans.com,Arts & Entertainment,3.65
demotywatory.pl,Arts & Entertainment,6.3
knowyourmeme.com,Arts & Entertainment,1.2666666666666666
geediting.com,Arts & Entertainment,1.05
thechive.com,Arts & Entertainment,6.266666666666667
cracked.com,Arts & Entertainment,3.85
joemonster.org,Arts & Entertainment,6.4
anekdot.ru,Arts & Entertainment,4.416666666666667
kwejk.pl,Arts & Entertainment,3.7
kiwifarms.st,Arts & Entertainment,15.233333333333333
xkcd.com,Arts & Entertainment,1.7666666666666666
joyreactor.cc,Arts & Entertainment,7.316666666666666
notalwaysright.com,Arts & Entertainment,10.733333333333333
mediatakeout.com,Arts & Entertainment,1.3666666666666667
finofilipino.org,Arts & Entertainment,6.483333333333333
funnyjunk.com,Arts & Entertainment,12.683333333333334
theonion.com,Arts & Entertainment,1.55
thewrap.com,Arts & Entertainment,0.7
fontmeme.com,Arts & Entertainment,2.533333333333333
news.hometalk.com,Arts & Entertainment,2.6166666666666667
idrlabs.com,Arts & Entertainment,4.4
ebaumsworld.com,Arts & Entertainment,3.35
watchpeopledie.tv,Arts & Entertainment,11.366666666666667
mistrzowie.org,Arts & Entertainment,3.6666666666666665
anekdotov.net,Arts & Entertainment,7.15
demotivateur.fr,Arts & Entertainment,1.7666666666666666
todayhumor.co.kr,Arts & Entertainment,4.15
noblemtl.com,Arts & Entertainment,16.7
vistoenlasredes.com,Arts & Entertainment,3.8833333333333333
sadistic.pl,Arts & Entertainment,6.6
cuantarazon.com,Arts & Entertainment,4.85
chamsko.pl,Arts & Entertainment,2.45
memedroid.com,Arts & Entertainment,3.6166666666666667
refresher.sk,Arts & Entertainment,0.3333333333333333
atom.com,Arts & Entertainment,3.0833333333333335
webfail.com,Arts & Entertainment,3.033333333333333
genius.com,Arts & Entertainment,2.25
soundcloud.com,Arts & Entertainment,6.283333333333333
npr.org,Arts & Entertainment,2.0166666666666666
music.yandex.ru,Arts & Entertainment,3.9333333333333336
y2mate.nu,Arts & Entertainment,4.166666666666667
hitmotop.com,Arts & Entertainment,4.766666666666667
ultimate-guitar.com,Arts & Entertainment,5.35
letras.mus.br,Arts & Entertainment,2.6166666666666667
letras.com,Arts & Entertainment,1.9166666666666665
discogs.com,Arts & Entertainment,9.183333333333334
mnuu.nu,Arts & Entertainment,4.116666666666666
radio-canada.ca,Arts & Entertainment,3.3666666666666667
last.fm,Arts & Entertainment,4.65
bandcamp.com,Arts & Entertainment,4.366666666666666
radiko.jp,Arts & Entertainment,6.133333333333334
cadenaser.com,Arts & Entertainment,2.6166666666666667
iheart.com,Arts & Entertainment,2.4
uta-net.com,Arts & Entertainment,3.0833333333333335
radiofrance.fr,Arts & Entertainment,1.7166666666666668
billboard.com,Arts & Entertainment,1.4833333333333334
gaana.com,Arts & Entertainment,1.2166666666666668
bandsintown.com,Arts & Entertainment,1.1
deezer.com,Arts & Entertainment,3.8833333333333333
jiosaavn.com,Arts & Entertainment,1.0333333333333334
rollingstone.com,Arts & Entertainment,1.2166666666666668
music.163.com,Arts & Entertainment,2.533333333333333
siriusxm.com,Arts & Entertainment,2.6333333333333333
worldstarhiphop.com,Arts & Entertainment,5.566666666666666
radiozet.pl,Arts & Entertainment,1.3666666666666667
y2mate.lol,Arts & Entertainment,3.8833333333333333
pandora.com,Arts & Entertainment,3.25
cifraclub.com.br,Arts & Entertainment,5.783333333333333
muzofond.fm,Arts & Entertainment,2.6833333333333336
ummn.nu,Arts & Entertainment,3.716666666666667
thomann.de,Arts & Entertainment,5.316666666666666
lnk.to,Arts & Entertainment,0.7
reverb.com,Arts & Entertainment,5.133333333333334
rateyourmusic.com,Arts & Entertainment,8.55
smule.com,Arts & Entertainment,2.9166666666666665
musescore.com,Arts & Entertainment,3.8666666666666667
sefon.pro,Arts & Entertainment,3.8
rtl.fr,Arts & Entertainment,1.1
fantasanremo.com,Arts & Entertainment,4.05
faroutmagazine.co.uk,Arts & Entertainment,1.1666666666666667
chordtela.com,Arts & Entertainment,7.083333333333333
shazam.com,Arts & Entertainment,1.3666666666666667
cope.es,Arts & Entertainment,1.2166666666666668
frontgatetickets.com,Arts & Entertainment,2.1666666666666665
framed.wtf,Arts & Entertainment,2.216666666666667
backstage.com,Arts & Entertainment,3.8666666666666667
intickets.ru,Arts & Entertainment,2.4166666666666665
quicktickets.ru,Arts & Entertainment,3.716666666666667
shiki.jp,Arts & Entertainment,5.233333333333333
broadway.com,Arts & Entertainment,2.3166666666666664
ticketon.kz,Arts & Entertainment,2.45
kassy.ru,Arts & Entertainment,2.9833333333333334
cirquedusoleil.com,Arts & Entertainment,2.2
actorsaccess.com,Arts & Entertainment,6.6
ticketsource.co.uk,Arts & Entertainment,2.7666666666666666
broadwayworld.com,Arts & Entertainment,1.6333333333333333
kennedy-center.org,Arts & Entertainment,1.6166666666666667
ovationtix.com,Arts & Entertainment,2.35
broadwaydirect.com,Arts & Entertainment,3.2333333333333334
ticketsolve.com,Arts & Entertainment,4.816666666666666
picturehouses.com,Arts & Entertainment,3.183333333333333
londontheatre.co.uk,Arts & Entertainment,2.716666666666667
whatsonstage.com,Arts & Entertainment,2.3666666666666667
vdnh.ru,Arts & Entertainment,1.5666666666666667
telecharge.com,Arts & Entertainment,3.35
news.autoguide.com,Arts & Entertainment,1.5
safronovy.ru,Arts & Entertainment,1.2
domorestuff.com,Arts & Entertainment,2.2
eventim-inhouse.de,Arts & Entertainment,3.7
kvitki.by,Arts & Entertainment,2.183333333333333
operadeparis.fr,Arts & Entertainment,5.783333333333333
barbican.org.uk,Arts & Entertainment,2.1
gorbilet.com,Arts & Entertainment,1.0666666666666667
royalalberthall.com,Arts & Entertainment,2.966666666666667
medievaltimes.com,Arts & Entertainment,3.1166666666666667
mirvish.com,Arts & Entertainment,2.65
mariinsky.ru,Arts & Entertainment,2.3833333333333333
teatro.it,Arts & Entertainment,1.4333333333333333
ludus.com,Arts & Entertainment,4.216666666666667
okepi.net,Arts & Entertainment,6.85
m-1gp.com,Arts & Entertainment,1.6166666666666667
stuki-druki.com,Arts & Entertainment,1.3666666666666667
xreal.com,Arts & Entertainment,2.1666666666666665
stage-entertainment.de,Arts & Entertainment,2.6833333333333336
ticketservices.gr,Arts & Entertainment,1.4166666666666667
sxsw.com,Arts & Entertainment,3.8333333333333335
rodeohouston.com,Arts & Entertainment,3.2
cinemamedley.ru,Arts & Entertainment,1.3333333333333333
youtube.com,Arts & Entertainment,20.783333333333335
netflix.com,Arts & Entertainment,7.116666666666666
imdb.com,Arts & Entertainment,2.783333333333333
rutube.ru,Arts & Entertainment,6.75
disneyplus.com,Arts & Entertainment,8.833333333333334
primevideo.com,Arts & Entertainment,2.5166666666666666
max.com,Arts & Entertainment,7.4
dailymotion.com,Arts & Entertainment,4.866666666666667
hulu.com,Arts & Entertainment,10.616666666666667
kinopoisk.ru,Arts & Entertainment,5.283333333333333
crunchyroll.com,Arts & Entertainment,14.316666666666666
nicovideo.jp,Arts & Entertainment,9.8
tenki.jp,Arts & Entertainment,2.1666666666666665
hotstar.com,Arts & Entertainment,7.366666666666666
xfinity.com,Arts & Entertainment,6.25
loobygameshub.com,Arts & Entertainment,13.833333333333334
screenrant.com,Arts & Entertainment,1.35
zdf.de,Arts & Entertainment,2.8333333333333335
peacocktv.com,Arts & Entertainment,12.166666666666666
nos.nl,Arts & Entertainment,4.183333333333334
sky.com,Arts & Entertainment,2.3666666666666667
rottentomatoes.com,Arts & Entertainment,1.7
mediaset.it,Arts & Entertainment,4.316666666666666
programme-tv.net,Arts & Entertainment,1.2
tver.jp,Arts & Entertainment,6.233333333333333
paramountplus.com,Arts & Entertainment,5.45
abema.tv,Arts & Entertainment,5.683333333333334
weathernews.jp,Arts & Entertainment,2.183333333333333
justwatch.com,Arts & Entertainment,1.1333333333333333
sky.it,Arts & Entertainment,1.8833333333333333
bfmtv.com,Arts & Entertainment,2.4
orf.at,Arts & Entertainment,5.25
nrk.no,Arts & Entertainment,4.416666666666667
ndr.de,Arts & Entertainment,1.85
ardmediathek.de,Arts & Entertainment,4.033333333333333
vimeo.com,Arts & Entertainment,3.716666666666667
uakino.me,Arts & Entertainment,4.883333333333333
anime-bit.online,Arts & Entertainment,8.716666666666667
filmoflix.ad,Arts & Entertainment,5.383333333333334
pixiv.net,Arts & Entertainment,11.416666666666666
deviantart.com,Arts & Entertainment,8.3
behance.net,Arts & Entertainment,5.483333333333333
vecteezy.com,Arts & Entertainment,3.45
vsco.co,Arts & Entertainment,2.15
pngtree.com,Arts & Entertainment,2.7
artstation.com,Arts & Entertainment,5.4
kaliham.com,Arts & Entertainment,2.85
emojicombos.com,Arts & Entertainment,2.216666666666667
3d-galleru.ru,Arts & Entertainment,3.216666666666667
ezgif.com,Arts & Entertainment,5.433333333333334
philo.com,Arts & Entertainment,3.25
aydogs.com,Arts & Entertainment,6.2
fineartamerica.com,Arts & Entertainment,3.3
vectorstock.com,Arts & Entertainment,2.2
creativemarket.com,Arts & Entertainment,3.1
imgix.net,Arts & Entertainment,1.35
pximg.net,Arts & Entertainment,5.0
dickblick.com,Arts & Entertainment,4.3
artsy.net,Arts & Entertainment,3.0833333333333335
wallhaven.cc,Arts & Entertainment,4.516666666666667
are.na,Arts & Entertainment,5.116666666666666
characterhub.com,Arts & Entertainment,12.5
heightcomparison.com,Arts & Entertainment,1.75
savetwitter.net,Arts & Entertainment,2.966666666666667
news.artnet.com,Arts & Entertainment,1.05
artribune.com,Arts & Entertainment,1.0833333333333333
saatchiart.com,Arts & Entertainment,2.65
line-of-action.com,Arts & Entertainment,2.7333333333333334
society6.com,Arts & Entertainment,2.1166666666666667
airbrush.com,Arts & Entertainment,1.75
spinspin.net,Arts & Entertainment,4.116666666666666
iduba.com,Arts & Entertainment,7.016666666666667
artmajeur.com,Arts & Entertainment,2.4333333333333336
ibispaint.com,Arts & Entertainment,1.6166666666666667
inprnt.com,Arts & Entertainment,1.7333333333333334
artnews.com,Arts & Entertainment,0.9
shotdeck.com,Arts & Entertainment,7.383333333333334
fontsinuse.com,Arts & Entertainment,2.8
fakeyou.com,Arts & Entertainment,4.75
thisiscolossal.com,Arts & Entertainment,1.1166666666666667
snapinst.app,Business & Consumer Services,3.5666666666666664
liftoff.io,Business & Consumer Services,0.85
medium.com,Business & Consumer Services,2.0833333333333335
attn.tv,Business & Consumer Services,0.43333333333333335
irecommend.ru,Business & Consumer Services,3.6666666666666665
flexmls.com,Business & Consumer Services,5.216666666666667
askul.co.jp,Business & Consumer Services,5.183333333333334
staples.com,Business & Consumer Services,3.8666666666666667
zenoti.com,Business & Consumer Services,13.55
uline.com,Business & Consumer Services,3.05
officedepot.com,Business & Consumer Services,3.35
pirateship.com,Business & Consumer Services,5.616666666666667
codmon.com,Business & Consumer Services,12.4
mcusercontent.com,Business & Consumer Services,0.8166666666666667
fastpic.org,Business & Consumer Services,6.7
kalunga.com.br,Business & Consumer Services,4.033333333333333
entrepreneur.com,Business & Consumer Services,0.85
staples.ca,Business & Consumer Services,2.7
ymag.cloud,Business & Consumer Services,2.9833333333333334
bueromarkt-ag.de,Business & Consumer Services,3.45
avery.com,Business & Consumer Services,6.983333333333333
lexoffice.de,Business & Consumer Services,13.133333333333333
smaregi.jp,Business & Consumer Services,9.166666666666666
listafirme.ro,Business & Consumer Services,2.35
promobit.com.br,Business & Consumer Services,3.6666666666666665
timepad.ru,Business & Consumer Services,2.5166666666666666
happyscribe.com,Business & Consumer Services,3.2666666666666666
dteenergy.com,Business & Consumer Services,3.6333333333333333
startrack.com.au,Business & Consumer Services,3.0
comune.milano.it,Business & Consumer Services,5.033333333333333
viking.com,Business & Consumer Services,5.15
quill.com,Business & Consumer Services,4.016666666666667
etrusted.com,Business & Consumer Services,1.2833333333333332
sendle.com,Business & Consumer Services,2.2666666666666666
ginifab.com,Business & Consumer Services,0.9833333333333333
ni-vms.com,Business & Consumer Services,24.85
sitejabber.com,Business & Consumer Services,1.35
pantone.com,Business & Consumer Services,2.35
vistaprint.fr,Business & Consumer Services,7.816666666666666
webmail.jimdo.com,Business & Consumer Services,8.316666666666666
bestcarton.com,Business & Consumer Services,1.7333333333333334
payplug.com,Business & Consumer Services,3.7
officemag.ru,Business & Consumer Services,4.183333333333334
shopify.com,Business & Consumer Services,14.166666666666666
cybozu.com,Business & Consumer Services,23.966666666666665
shop.app,Business & Consumer Services,2.15
qualtrics.com,Business & Consumer Services,2.033333333333333
narvar.com,Business & Consumer Services,1.2
mynavi.jp,Business & Consumer Services,3.1
search.app,Business & Consumer Services,1.1666666666666667
chatwork.com,Business & Consumer Services,25.533333333333335
squareup.com,Business & Consumer Services,4.583333333333333
klclick.com,Business & Consumer Services,0.4666666666666667
reclameaqui.com.br,Business & Consumer Services,2.25
medallia.com,Business & Consumer Services,2.033333333333333
sbis.ru,Business & Consumer Services,9.266666666666667
statista.com,Business & Consumer Services,1.7166666666666668
canadapost-postescanada.ca,Business & Consumer Services,2.3166666666666664
ycombinator.com,Business & Consumer Services,3.0166666666666666
wp.com,Business & Consumer Services,1.5
rusprofile.ru,Business & Consumer Services,2.783333333333333
niconsul.com,Business & Consumer Services,21.616666666666667
sapsf.com,Business & Consumer Services,6.233333333333333
ahrefs.com,Business & Consumer Services,6.516666666666667
kingoftime.jp,Business & Consumer Services,5.716666666666667
spokeo.com,Business & Consumer Services,2.8
accenture.com,Business & Consumer Services,8.766666666666667
tremendous.com,Business & Consumer Services,1.1666666666666667
saby.ru,Business & Consumer Services,6.3
basecamp.com,Business & Consumer Services,14.216666666666667
booksy.com,Business & Consumer Services,4.05
dataannotation.tech,Business & Consumer Services,7.366666666666666
pm.by,Business & Consumer Services,10.033333333333333
ariba.com,Business & Consumer Services,9.416666666666666
rocketreach.co,Business & Consumer Services,2.4833333333333334
pappers.fr,Business & Consumer Services,3.3666666666666667
tableau.com,Business & Consumer Services,6.583333333333333
pm-srv.co,Business & Consumer Services,0.43333333333333335
newsmemory.com,Business & Consumer Services,1.5833333333333335
rs6.net,Business & Consumer Services,1.0
inc.com,Business & Consumer Services,0.8
navitime.biz,Business & Consumer Services,4.833333333333333
chouseisan.com,Business & Consumer Services,2.9833333333333334
spectrumsurveys.com,Business & Consumer Services,3.7
acuityscheduling.com,Business & Consumer Services,5.166666666666667
linktr.ee,Business & Consumer Services,1.5666666666666667
smadex.com,Business & Consumer Services,2.1666666666666665
kmail-lists.com,Business & Consumer Services,0.6
hubspot.com,Business & Consumer Services,19.183333333333334
adfixus.com,Business & Consumer Services,0.25
bling.com.br,Business & Consumer Services,21.35
youappi.com,Business & Consumer Services,0.7166666666666667
theadex.com,Business & Consumer Services,3.4166666666666665
gemius.com,Business & Consumer Services,0.5
semrush.com,Business & Consumer Services,6.35
noataque.com.br,Business & Consumer Services,0.75
similarweb.com,Business & Consumer Services,12.7
research-panel.jp,Business & Consumer Services,3.8333333333333335
reaper-scan.net,Business & Consumer Services,22.6
webinarjam.com,Business & Consumer Services,2.1333333333333333
gohighlevel.com,Business & Consumer Services,14.766666666666667
ehub.cz,Business & Consumer Services,0.21666666666666667
pubmatic.com,Business & Consumer Services,8.616666666666667
smaato.com,Business & Consumer Services,8.983333333333333
tidd.ly,Business & Consumer Services,0.95
simplycodes.com,Business & Consumer Services,2.9833333333333334
top10.com,Business & Consumer Services,0.9666666666666667
sejaefi.com.br,Business & Consumer Services,3.6333333333333333
publer.com,Business & Consumer Services,2.0833333333333335
getresponse.com,Business & Consumer Services,4.416666666666667
magalu.com,Business & Consumer Services,6.4
clicksign.com,Business & Consumer Services,6.483333333333333
usertesting.com,Business & Consumer Services,9.033333333333333
teachy.com.br,Business & Consumer Services,5.266666666666667
appsamurai.com,Business & Consumer Services,1.5166666666666666
bioma.health,Business & Consumer Services,1.3
urlgeni.us,Business & Consumer Services,0.5
ayetstudios.com,Business & Consumer Services,2.0
flodesk.com,Business & Consumer Services,3.216666666666667
tatlerasia.com,Business & Consumer Services,1.4166666666666667
shoplazza.com,Business & Consumer Services,1.0333333333333334
convertkit.com,Business & Consumer Services,0.4166666666666667
55content.com.br,Business & Consumer Services,0.21666666666666667
impact.com,Business & Consumer Services,11.55
livechat.com,Business & Consumer Services,2.7
hybrid.ai,Business & Consumer Services,0.9833333333333333
statcounter.com,Business & Consumer Services,5.25
blackhatworld.com,Business & Consumer Services,4.166666666666667
yourselfirst.com,Business & Consumer Services,6.433333333333334
cleverreach.com,Business & Consumer Services,1.8666666666666667
remerge.io,Business & Consumer Services,0.7666666666666667
brandbee.io,Business & Consumer Services,0.6666666666666666
leadconnectorhq.com,Business & Consumer Services,2.9833333333333334
salesloft.com,Business & Consumer Services,22.516666666666666
fractionfridgejudiciary.com,Business & Consumer Services,3.783333333333333
totaladblock.com,Business & Consumer Services,3.5666666666666664
smartnews-ads.com,Business & Consumer Services,1.9
hotosena.com,Business & Consumer Services,1.0166666666666666
rstyle.me,Business & Consumer Services,1.6166666666666667
innovid.com,Business & Consumer Services,0.55
cint.com,Business & Consumer Services,3.9
ssisurveys.com,Business & Consumer Services,3.5
yougov.com,Business & Consumer Services,4.533333333333333
constantcontact.com,Business & Consumer Services,3.3666666666666667
samplicio.us,Business & Consumer Services,4.6
g.page,Business & Consumer Services,0.55
appier.net,Business & Consumer Services,0.7333333333333333
dpgmedia.nl,Business & Consumer Services,0.5833333333333334
alchemer.com,Business & Consumer Services,2.6333333333333333
rsch.jp,Business & Consumer Services,5.616666666666667
ipsosinteractive.com,Business & Consumer Services,3.716666666666667
cpx-research.com,Business & Consumer Services,3.5833333333333335
dynalyst.jp,Business & Consumer Services,1.75
clubjt.jp,Business & Consumer Services,2.55
mobilexpression.com,Business & Consumer Services,1.4166666666666667
msha.ke,Business & Consumer Services,0.35
lifepointspanel.com,Business & Consumer Services,6.866666666666667
ipsosisay.com,Business & Consumer Services,4.85
cloudresearch.com,Business & Consumer Services,5.416666666666667
arminius.io,Business & Consumer Services,0.3
surveyjunkie.com,Business & Consumer Services,8.483333333333333
empower.com,Business & Consumer Services,1.0833333333333333
anketolog.ru,Business & Consumer Services,2.1666666666666665
vista.com,Business & Consumer Services,3.716666666666667
traffichaus.com,Business & Consumer Services,0.5833333333333334
sprinklr.com,Business & Consumer Services,6.266666666666667
brevo.com,Business & Consumer Services,10.3
cross-m.co.jp,Business & Consumer Services,2.4333333333333336
surveoo.com,Business & Consumer Services,3.9333333333333336
hausfrage.de,Business & Consumer Services,0.75
astound.com,Business & Consumer Services,3.0166666666666666
igv.com,Business & Consumer Services,2.7
smartmoving.com,Business & Consumer Services,15.283333333333333
allconnect.com,Business & Consumer Services,0.7833333333333333
