index,Rank,Website,Category,AVG minutes
150,1,archiveofourown.org,Arts & Entertainment > Books and Literature,15.366666666666667
151,2,novelbin.com,Arts & Entertainment > Books and Literature,34.016666666666666
152,3,wattpad.com,Arts & Entertainment > Books and Literature,18.483333333333334
153,4,qidian.com,Arts & Entertainment > Books and Literature,15.016666666666667
154,5,author.today,Arts & Entertainment > Books and Literature,12.183333333333334
156,7,fictionzone.net,Arts & Entertainment > Books and Literature,11.083333333333334
157,8,litnet.com,Arts & Entertainment > Books and Literature,14.3
158,9,69yuedu.net,Arts & Entertainment > Books and Literature,29.45
159,10,knigavuhe.org,Arts & Entertainment > Books and Literature,3.3333333333333335
160,11,issuu.com,Arts & Entertainment > Books and Literature,1.9
161,12,ficbook.net,Arts & Entertainment > Books and Literature,13.783333333333333
162,13,mangabuff.ru,Arts & Entertainment > Books and Literature,22.166666666666668
163,14,pensador.com,Arts & Entertainment > Books and Literature,1.4666666666666668
164,15,mtlnovels.com,Arts & Entertainment > Books and Literature,45.53333333333333
165,16,wuxiabox.com,Arts & Entertainment > Books and Literature,41.733333333333334
166,17,tvtropes.org,Arts & Entertainment > Books and Literature,10.4
167,18,69shuba.cx,Arts & Entertainment > Books and Literature,23.75
168,19,webnovel.com,Arts & Entertainment > Books and Literature,22.766666666666666
169,20,69shuba.com,Arts & Entertainment > Books and Literature,35.916666666666664
170,21,jjwxc.net,Arts & Entertainment > Books and Literature,15.1
171,22,vitalsource.com,Arts & Entertainment > Books and Literature,16.883333333333333
172,23,twkan.com,Arts & Entertainment > Books and Literature,32.166666666666664
175,26,xbanxia.com,Arts & Entertainment > Books and Literature,26.25
176,27,thriftbooks.com,Arts & Entertainment > Books and Literature,2.7666666666666666
177,28,stihi.ru,Arts & Entertainment > Books and Literature,4.116666666666666
178,29,royalroad.com,Arts & Entertainment > Books and Literature,12.666666666666666
179,30,overdrive.com,Arts & Entertainment > Books and Literature,3.55
181,32,epub.pub,Arts & Entertainment > Books and Literature,4.466666666666667
183,34,bqg9527.cc,Arts & Entertainment > Books and Literature,19.9
186,37,52shuku.vip,Arts & Entertainment > Books and Literature,38.3
187,38,fizzo.org,Arts & Entertainment > Books and Literature,9.95
188,39,pawmanga.com,Arts & Entertainment > Books and Literature,13.033333333333333
189,40,jaomix.ru,Arts & Entertainment > Books and Literature,33.4
190,41,akniga.org,Arts & Entertainment > Books and Literature,2.8
191,42,freewebnovel.com,Arts & Entertainment > Books and Literature,29.316666666666666
192,43,loveread.ec,Arts & Entertainment > Books and Literature,24.416666666666668
193,44,litgorod.ru,Arts & Entertainment > Books and Literature,10.116666666666667
194,45,zinchangmanga.com,Arts & Entertainment > Books and Literature,8.483333333333333
195,46,lubimyczytac.pl,Arts & Entertainment > Books and Literature,2.1666666666666665
196,47,litmarket.ru,Arts & Entertainment > Books and Literature,7.283333333333333
197,48,ridibooks.com,Arts & Entertainment > Books and Literature,10.85
198,49,wa01.com,Arts & Entertainment > Books and Literature,29.233333333333334
199,50,proza.ru,Arts & Entertainment > Books and Literature,2.1
200,1,pikabu.ru,Arts & Entertainment > Humor,5.166666666666667
201,2,9gag.com,Arts & Entertainment > Humor,5.833333333333333
202,3,pinimg.com,Arts & Entertainment > Humor,3.7
204,5,cheezburger.com,Arts & Entertainment > Humor,2.5166666666666666
205,6,insta-stories-viewer.com,Arts & Entertainment > Humor,3.216666666666667
206,7,tenor.com,Arts & Entertainment > Humor,1.8
207,8,change.org,Arts & Entertainment > Humor,1.6333333333333333
208,9,yaplakal.com,Arts & Entertainment > Humor,13.716666666666667
209,10,fishki.net,Arts & Entertainment > Humor,11.083333333333334
210,11,pleated-jeans.com,Arts & Entertainment > Humor,3.65
211,12,demotywatory.pl,Arts & Entertainment > Humor,6.3
212,13,knowyourmeme.com,Arts & Entertainment > Humor,1.2666666666666666
213,14,geediting.com,Arts & Entertainment > Humor,1.05
214,15,thechive.com,Arts & Entertainment > Humor,6.266666666666667
215,16,cracked.com,Arts & Entertainment > Humor,3.85
216,17,joemonster.org,Arts & Entertainment > Humor,6.4
217,18,anekdot.ru,Arts & Entertainment > Humor,4.416666666666667
218,19,kwejk.pl,Arts & Entertainment > Humor,3.7
220,21,kiwifarms.st,Arts & Entertainment > Humor,15.233333333333333
221,22,xkcd.com,Arts & Entertainment > Humor,1.7666666666666666
222,23,joyreactor.cc,Arts & Entertainment > Humor,7.316666666666666
223,24,notalwaysright.com,Arts & Entertainment > Humor,10.733333333333333
224,25,mediatakeout.com,Arts & Entertainment > Humor,1.3666666666666667
225,26,finofilipino.org,Arts & Entertainment > Humor,6.483333333333333
226,27,funnyjunk.com,Arts & Entertainment > Humor,12.683333333333334
227,28,theonion.com,Arts & Entertainment > Humor,1.55
228,29,thewrap.com,Arts & Entertainment > Humor,0.7
229,30,fontmeme.com,Arts & Entertainment > Humor,2.533333333333333
230,31,news.hometalk.com,Arts & Entertainment > Humor,2.6166666666666667
232,33,idrlabs.com,Arts & Entertainment > Humor,4.4
233,34,ebaumsworld.com,Arts & Entertainment > Humor,3.35
234,35,watchpeopledie.tv,Arts & Entertainment > Humor,11.366666666666667
235,36,mistrzowie.org,Arts & Entertainment > Humor,3.6666666666666665
236,37,anekdotov.net,Arts & Entertainment > Humor,7.15
237,38,demotivateur.fr,Arts & Entertainment > Humor,1.7666666666666666
238,39,todayhumor.co.kr,Arts & Entertainment > Humor,4.15
239,40,noblemtl.com,Arts & Entertainment > Humor,16.7
241,42,vistoenlasredes.com,Arts & Entertainment > Humor,3.8833333333333333
243,44,sadistic.pl,Arts & Entertainment > Humor,6.6
244,45,cuantarazon.com,Arts & Entertainment > Humor,4.85
245,46,chamsko.pl,Arts & Entertainment > Humor,2.45
